f,r,o,m
t,o
253484,253486
253486,253485
50162,49376
49376,50007
187226,186986
186986,187225
187225,186982
186982,187213
187213,186965
186965,186960
120658,126643
208897,208901
208901,206677
18800,18799
18799,18588
58246,298706
150595,141827
141827,141822
141822,150594
150594,141821
141821,141819
141819,150591
150591,150593
150593,141816
141816,141807
273875,273876
10884,8318
8318,8319
8319,10869
10869,10841
10841,8235
156091,394875
143004,143001
143001,143000
31648,31632
55172,54602
54602,55166
55166,54601
54601,55165
95953,95954
156380,250399
250399,153593
153593,152327
152327,153592
153592,273232
184042,184043
177708,177691
337138,276427
377845,377843
104752,110876
110876,249244
401994,401995
401995,404367
404367,401996
349127,349128
102823,108101
108101,102822
265066,260465
260465,265065
321024,321022
211495,211487
103186,103153
203082,77645
219666,212557
212557,212556
212556,212551
234550,235585
235585,235582
235582,235578
235578,235576
321083,321082
167461,175057
175057,174784
40657,59770
59770,41722
181759,181754
181754,184621
395152,395486
395303,395601
323355,304174
50320,48868
298677,298679
99192,99194
99194,99195
99195,99230
394279,394276
191901,193937
112395,112394
214474,214542
214542,214545
214545,214548
9333,105842
267735,267737
94968,93796
93796,169533
169533,170015
34167,54487
364284,364285
107668,107667
107667,107650
107650,10285
199854,298672
182183,182180
359288,359556
276103,368140
368140,300341
300341,253104
30584,30575
60270,59655
59655,60282
357772,358546
322795,202848
202848,69824
259770,259767
259767,264604
264604,264601
24635,45409
45409,71327
71327,196477
215005,215015
215015,210797
214135,211478
77600,266047
266047,154139
205123,206555
206555,208191
54808,54801
245150,244289
244289,244282
244282,244279
320621,203263
178995,178992
178992,178991
101482,101978
288695,288698
41237,70531
183002,182998
182998,182996
291712,291768
191892,190022
190022,189927
81347,80571
163827,162766
162766,168004
179300,184490
283922,284803
284803,376925
376925,24740
24740,283921
283921,283920
283920,376267
376267,24744
291120,335558
285457,285217
285217,285460
285460,285218
285218,282066
282066,285487
164037,164013
257568,284551
86182,86180
378570,378571
105541,105539
47509,196855
79737,79774
79774,79801
260016,260013
260013,264735
264735,264731
101460,101970
104039,104038
104038,109690
109690,109689
109689,109687
109687,109558
109558,103954
103954,109533
144343,139856
172898,296999
296999,174092
134819,134838
134838,134841
134841,134839
35239,35237
35237,35236
35236,35238
35238,33162
33162,33128
142594,142593
182592,182553
28698,28838
82080,82051
215417,215418
215418,210392
210392,210389
29953,30373
30373,30814
105047,111393
111393,105045
105045,111391
346358,346359
346359,346360
37721,37720
207516,206187
206187,207517
204773,206226
288728,291235
29894,325487
209176,209166
239650,239640
239640,239633
239633,239623
239623,239621
362043,360719
117809,117857
40193,40493
106901,102331
111908,112334
112334,51812
390761,305325
305325,305326
305326,154250
190550,190533
10431,7872
7872,7871
7871,19528
19528,19527
337231,337232
337232,337233
51653,51652
260255,264876
264876,264873
264873,260248
150615,141960
218649,218635
218635,211968
268307,268002
268002,268311
245390,245360
245360,245328
211509,211502
211502,214112
214112,211482
144307,139915
213712,213728
213728,51175
51175,208323
208323,51166
51166,208334
112448,112440
46004,46907
46907,196835
196835,46896
46896,51178
51178,49685
49685,49673
304263,323613
247096,247891
247891,247093
187256,187768
187768,187752
41482,41480
382192,382716
321362,321361
31329,208719
197426,199316
187100,187547
187547,187546
187546,187532
23579,23776
29298,55585
55585,54167
54167,53785
53785,162395
233276,233270
382318,381999
140307,93961
127498,203690
203690,377808
103677,109054
207097,207095
207095,207093
207093,207092
207092,118575
118575,394567
247258,247232
8083,8080
8080,8077
9418,105895
245553,29455
29455,245549
245549,29454
241998,241993
241993,241983
241983,241981
241981,241964
241964,241921
298882,294843
294843,58449
119822,125344
259691,265773
265773,259684
259684,265772
265772,265770
99193,99197
17947,17946
58593,57954
57954,58595
242547,242546
335914,335607
335607,335606
217656,217640
278966,278968
110326,110319
110319,104409
104409,110313
142074,142069
142069,142066
142066,142061
187610,187609
237219,239972
46005,46908
46908,196834
196834,46895
46895,45988
275425,275428
33545,35205
180717,186224
186224,180635
180635,186272
260222,264860
51957,51955
272372,272373
105604,105603
264836,260172
244969,325745
103862,109354
79693,79695
176894,117853
117853,177843
177843,117733
117733,177775
177775,176799
395318,395586
177056,177054
177054,177053
177053,177052
177375,178137
104307,110173
110173,104304
104304,110171
110171,104301
104301,104275
104275,110105
192159,192670
296767,205895
205895,207602
207602,205892
205892,207605
207605,207334
259731,264583
154158,369976
18702,18699
337177,347286
347286,337297
337297,346108
288563,288579
288579,288614
288614,288625
383420,390151
390151,390062
390062,390150
390150,390061
390061,390148
390148,390147
288508,288514
89242,89240
245478,245477
245477,183863
86649,86650
86650,86651
172171,97624
335667,335655
335655,335653
335653,335650
335650,335649
205792,207684
207684,70053
70053,78970
78970,79058
105290,105291
218769,119824
119824,128338
128338,218760
295714,295716
295716,295717
107978,107975
78389,78395
78395,78397
78397,78405
242441,242437
220155,220156
143870,143861
143861,143860
379558,379106
379106,379105
244781,244131
244131,244782
244782,244130
209554,209552
255649,252534
174582,154237
154237,154238
321425,321418
102284,106667
275313,275315
206807,206802
220088,220083
336626,348046
105367,105360
255079,255085
110721,181414
181414,181388
85258,85301
205265,49888
49888,50891
7581,7582
7582,206283
206283,7583
7583,7586
7586,206289
143524,150736
181354,181351
39170,161212
349939,360831
33324,33321
185905,180817
126490,126478
126478,127904
80119,78204
48994,58388
58388,48992
48992,48991
48991,48990
48990,48192
99099,37698
150727,143369
143369,150722
121060,127874
187813,5655
252594,252501
252501,364601
364601,271678
271678,252503
143548,143547
117767,117772
117772,117771
117771,117770
117770,117756
117756,176814
268424,268426
268426,268048
268048,268436
268436,268446
268446,268455
268455,178183
26921,37305
37305,27324
27324,37303
111971,111549
111549,111970
111970,111543
111543,111964
326112,325305
211140,214607
214607,214609
60297,60314
60314,59153
59153,59154
59154,59646
59646,59225
220136,220058
220058,220057
192220,49661
239546,239545
304715,322858
322858,323652
126994,126996
271770,271771
179882,183488
183488,179852
179852,179851
179851,183536
183536,183537
188399,188406
188406,188407
365450,255075
112272,112271
333933,281603
281603,288923
46265,45320
106830,102335
382304,51476
51476,257883
257883,382303
382303,382735
382735,51471
51471,257876
19574,30712
30712,19572
19572,31066
31066,20290
20290,19552
19552,30995
30995,20268
20268,30661
30661,30659
30659,30991
30991,30658
178326,117762
117762,177788
401903,401904
401904,401905
153632,392276
242355,197428
114975,48843
48843,48835
48835,49721
49721,49720
49720,192510
5293,5852
247560,248397
248397,247559
247559,247558
247558,248394
105918,105917
274967,275603
82069,93543
93543,162153
162153,332073
332073,335963
335963,335961
5526,6039
31187,31929
89800,382182
38519,38425
252303,252304
252304,252305
395294,395610
395610,396458
396458,396451
360967,349865
206538,208184
208184,50473
50473,206537
206537,208185
203564,202912
234891,326043
361109,350461
161308,192476
211809,211807
241906,241905
241905,241901
241901,241900
241900,241899
241899,241897
241897,241896
241896,241895
241895,241894
241894,241893
241893,241880
241880,241878
241878,241845
241845,273360
40329,52451
52451,111768
111768,159324
172352,172353
279937,279936
279936,279935
279935,279934
279934,291090
291090,291086
291086,291070
49700,208587
208587,49684
322209,322192
49372,50121
192238,50856
50856,51422
51422,192239
192239,49879
49879,50851
24928,25093
25093,335670
5608,6144
6144,6133
6133,6132
161349,162752
162752,273100
179536,179207
179207,179206
49736,48780
381064,75302
75302,381063
118048,118370
112406,112405
112405,112402
391808,391967
391967,391817
391817,391969
391969,391818
175341,175310
346018,278486
278486,346022
346022,345894
163890,163889
163889,168068
168068,168067
361725,361723
395313,395591
35478,35505
295621,299297
299297,295622
143787,143781
284222,284223
101083,101836
101836,101065
349056,349058
246769,246748
401634,401847
401847,401635
69963,42620
42620,69974
140647,140643
384051,384156
384156,384394
384394,384396
384396,163039
163039,69441
69441,63397
63397,69444
69444,384715
384715,383353
383353,383355
383355,383356
383356,383361
383361,140549
140549,112401
112401,298264
298264,272274
272274,272273
272273,272272
272272,272270
272270,118251
54904,54343
235557,234538
23781,23589
23589,23760
17907,106200
398181,397802
397802,398183
398183,397807
397807,398185
346746,346753
346753,348282
177715,177714
19085,19600
19600,19598
60928,60927
259922,259912
70467,70460
49556,49544
104594,110624
205084,206516
206516,206236
42351,41604
41604,42360
299102,295346
295346,299108
299108,295906
295906,299109
299109,299206
299206,392451
392451,295454
295454,392454
392454,299222
27752,28238
115531,114823
142684,142350
142350,141879
141879,145322
145322,141180
141180,30860
30860,30859
32625,32597
139659,144619
144619,144667
144667,139617
174928,174927
144005,140252
119940,126176
126176,79131
81898,82368
94876,93759
260315,264933
274266,274184
398633,50062
50062,48299
48299,48612
177516,177504
177504,177501
72162,72161
72161,72157
187126,187605
33751,33750
249122,181432
205506,206965
143110,143109
296523,298640
8316,10872
10872,10873
103268,9834
9834,103267
212595,219697
219697,212590
250213,152420
139549,144815
144815,139541
95215,95216
5734,5731
5731,5724
170432,170501
253312,253012
401801,401811
163925,163924
163924,168104
168104,168103
168103,163905
163905,162790
162790,163904
163904,163903
163903,162787
162787,163900
163900,163892
163892,163891
163891,168084
168084,168083
168083,168082
168082,168079
168079,168071
168071,168070
168070,168069
93732,94763
253434,253143
253143,253142
253142,253126
233290,233289
368375,368376
24911,27267
365003,365002
250549,106662
298903,37509
105778,38346
337990,337993
337993,347932
217400,80928
80928,217469
173562,154442
154442,154441
217859,211598
346625,346626
346626,346628
346628,346629
143605,143447
143447,142550
142550,142372
142372,141349
172050,232971
187068,187961
252620,252540
394244,394233
41346,42010
107512,102606
153574,395132
395132,398283
398283,399638
399638,233403
233403,296257
380276,153005
153005,156121
304571,323409
297008,297010
255516,255090
101561,102007
102007,101536
239537,237052
144584,139685
234461,235369
235369,234460
234460,235368
235368,234458
234458,235367
186721,182802
189956,191669
70713,69700
69700,70714
160878,160710
242621,242620
286561,286826
54073,173765
42274,41079
144274,144278
144278,150567
247876,247134
163389,163387
163387,163383
163383,163371
163371,163366
163366,163362
163362,163358
163358,163357
20145,20138
20138,19544
85253,85427
85427,85426
85426,85252
85252,85300
79690,79699
79699,79710
79710,79721
109475,103928
299058,295338
295338,299078
300290,307434
307434,321929
321929,324163
283614,283502
283502,283611
191252,191269
191269,191256
185886,180832
180832,180827
189772,190433
190433,189769
189769,190434
6844,44066
204619,298759
23921,52431
213871,209054
209054,208406
81266,80851
297226,280131
280131,287127
287127,391963
391963,271255
271255,278398
278398,257600
257600,278400
278400,284066
284066,366425
107510,107503
191204,191205
71149,69582
44048,44656
94903,93775
93775,94864
257551,284547
337698,347861
117955,117920
212791,220010
24878,27234
51040,51039
177081,177080
177080,18855
274932,274931
274931,274930
274930,274929
142452,142451
142451,142446
111519,111518
7383,7221
7221,7389
8810,12238
12238,17808
260950,260135
377008,377537
89737,89738
141563,141562
377218,377217
276558,325854
377251,377250
377250,377249
330742,94546
94546,100494
100494,287505
287505,100413
100413,100414
100414,284633
284633,169577
169577,100418
100418,284125
284125,285328
60789,60788
247242,248454
272484,85251
85251,85425
85425,272049
272049,85250
219500,212471
206355,206880
158261,159414
260225,260224
260224,264863
264863,264862
246958,246951
395400,395503
59927,60418
219265,212299
140922,150867
5377,187501
187501,5919
30038,30655
61728,62801
62801,62802
62802,62803
62803,62804
62804,65535
360977,349860
93601,93600
93600,93598
361469,350172
3322,3325
65576,62875
62875,65578
205034,205021
205021,206072
247191,247184
247184,247143
383996,383997
383997,383998
383998,384000
384000,384003
384003,384004
85359,85322
201112,201109
105657,105653
265292,260719
112306,112292
112292,112290
112290,112289
304918,323674
9096,9095
9095,21202
21202,21285
21285,21199
21199,21282
21282,21198
21198,21281
21281,21197
21197,21280
266930,266929
266929,266928
266928,266927
266927,266926
300278,307361
330578,95268
348914,348832
44902,46158
218463,211858
211858,218453
218453,211849
50251,190378
190378,49091
49091,48430
69644,69643
69643,69642
69642,69621
69621,69597
69597,69596
259853,264649
214044,125157
38636,38144
38144,38143
38143,38642
307283,322070
44710,44718
44718,44460
158294,158296
337316,337317
337317,346127
346127,346128
217465,209458
104725,106243
244476,267274
267274,266978
50088,50031
245422,245421
245421,245418
218383,211804
211804,211802
211802,211800
158675,158674
61709,61710
61710,61711
61711,244375
244375,70863
70863,70062
70062,49102
49102,49101
49101,48551
48551,273926
17836,8834
8834,12301
12301,17805
17805,12260
12260,17806
175315,174895
215559,210321
189419,189413
93984,299350
299350,93980
93980,298035
298035,93976
93976,93972
95625,95626
23498,23581
11203,20605
20605,8434
8434,185146
69802,41151
105958,105954
383499,383500
6620,6617
39217,85134
85134,80577
80577,80934
192285,192284
395218,395420
362049,360658
360658,362055
362055,360655
273580,273579
273579,299616
273370,273388
106728,102269
102269,106613
278943,278945
278945,278946
143506,143505
218823,119313
119313,126275
297145,295591
189977,191995
402082,402137
70138,71446
71446,71447
141976,141972
141972,54244
54244,144363
144363,57617
57617,139771
139771,144478
144478,55453
55453,245158
245158,273490
273490,20323
239357,236520
236520,239358
69539,69538
234371,235165
173029,173022
305723,305724
41294,41275
37194,38189
36073,236700
187123,187600
28714,28716
1052,1051
198170,5810
51288,205515
205515,207895
88512,88483
143546,140867
120977,125805
368497,377347
337480,337484
337484,337897
7648,7649
177101,177964
177964,177962
177962,178689
19936,19300
19300,19933
9315,9311
348199,347008
279964,279682
279682,244518
244518,279965
279965,279683
279683,244520
249747,180609
81281,158335
158335,278787
288660,158775
158775,288664
191670,189955
189955,191667
299862,295100
295100,295140
295140,295144
260673,265262
362006,362008
362008,359116
159616,159618
159618,158218
158218,159369
159369,159619
159619,159621
159621,158219
158219,159370
159370,159622
110065,104246
104246,110064
110064,104245
104245,110063
110063,104243
104243,110062
110062,104241
378590,379307
78066,78067
110057,104235
323656,304757
304757,323657
22536,22537
300164,306129
275618,159463
397875,283816
283816,336050
336050,397604
397604,397605
390483,390237
390237,390239
210001,216100
216100,209999
209999,216102
45596,47053
320286,306997
306997,307148
8344,109526
109526,103949
336453,273959
273959,336454
336454,273961
275310,275871
275871,275318
275318,275872
43866,41824
294940,297914
297914,294960
294960,297916
297916,294961
294961,294962
368742,369607
214567,211170
284434,284293
183763,178896
178896,183767
176972,176962
100964,30176
30176,100963
46783,46746
192256,402811
111438,33889
203521,203640
213811,209110
209110,209106
209106,51177
51177,209076
5489,5991
306067,306076
71870,82323
219211,219197
118537,118536
118536,190278
190278,191848
191848,190280
150630,150628
381160,381161
12152,8790
214338,211306
19646,19120
240261,240196
246795,246012
296982,296984
27038,27559
271670,271488
271488,271718
383090,382036
156056,156059
362246,362247
234756,236052
350242,358446
358446,358445
126680,126675
361212,350338
49771,49755
297446,252514
295650,299309
299309,295666
173959,173961
75446,381073
381073,382677
211663,218068
218068,218060
218060,218057
45405,46434
80893,80892
7495,7533
205153,206580
206580,208128
208128,205095
205095,206536
206536,206535
110539,104545
104545,110518
110518,104526
104526,110515
110515,110494
17992,9344
180644,180643
180643,236950
236950,238363
238363,80544
80544,164291
164291,164287
164287,164285
164285,164284
164284,164281
164281,321818
321818,274630
383744,383745
41957,41959
41959,40682
40682,40680
299015,294763
32406,32403
102210,106419
178869,249260
297208,297357
297357,295615
295615,297210
297210,297215
197799,195749
87900,87899
295040,297695
29891,30177
30177,29888
29888,29890
29890,30166
125413,191649
191649,120144
120144,125414
29521,177394
177394,177340
177340,29519
29519,177312
103893,109402
323429,304738
304738,304739
252433,252435
252435,178181
50197,50160
267812,267813
384606,385094
219194,219191
219191,212222
212222,212220
212220,212217
212217,219175
37936,37934
37934,37933
37933,37932
192464,118633
75114,75455
358758,359204
268068,268801
268801,268803
276468,160812
160812,286630
402329,402330
157721,157951
157951,157722
157722,157733
196489,195754
28900,28872
28872,24651
255130,255529
255529,255134
185922,180800
143896,150775
54080,57984
59727,59849
32115,38395
181256,185050
185050,181251
163972,168151
142535,145012
105334,105326
105326,105324
141912,145539
273404,273406
105051,327258
58242,298711
69549,69548
326008,391860
283670,93631
358347,349843
336446,287133
287133,286711
286711,287134
287134,286712
108728,108729
108729,108727
395177,395461
395461,395176
395176,395462
71195,69756
179906,179903
179903,183432
183432,183427
275839,275280
335702,335994
58098,58097
58097,58094
401546,401567
271474,271476
271476,271479
271479,271482
271482,271483
271483,271486
271486,271489
29773,29769
29769,29768
29768,30255
30255,30254
30254,29765
29765,29764
120960,129020
129020,194142
194142,128969
89488,89279
254977,254976
350058,350060
235474,234500
181974,105128
81293,80898
80898,82168
82168,82165
79990,79993
54058,173742
180060,180044
180044,180039
101422,101953
101962,101438
239083,236648
284736,284113
58233,273096
273096,257901
257901,273095
273095,58229
58229,257900
257900,273094
273094,257899
257899,58224
58224,273091
295137,252994
252994,295143
295143,252995
268880,268078
209636,216861
216861,209635
209635,216933
216933,209596
202825,203055
260763,260762
297868,297874
252271,252272
252272,252273
284249,284250
396248,396223
259570,264497
264497,259566
259566,264492
394692,118532
118532,394722
58886,58968
58968,59588
126425,396304
31354,101596
101596,101597
163855,163853
163853,168032
168032,168030
156393,250412
211215,214632
214632,211122
211122,211119
143976,144173
19062,172310
172310,19588
19588,172311
244561,244884
291325,291328
291328,291014
142920,142919
158630,159497
189422,188054
188054,188493
260915,260913
379505,379097
35506,35507
260229,264468
264468,260228
260228,264467
264467,260217
260217,260908
260908,264461
264461,260130
176848,177812
60255,59658
59658,60257
127222,126518
119450,129130
11569,108354
197802,195799
71160,70143
70143,70142
287131,286709
286709,286710
28050,28362
28362,27927
401851,401637
401637,401852
401852,401639
361021,349819
42245,41136
34717,33449
272205,272071
380605,379480
95402,94259
347191,348208
49909,49904
233123,233127
233127,233128
233128,233129
233129,233133
233133,233139
348749,348725
12465,21256
21256,182204
182204,182203
182203,182199
184685,184691
109594,103974
179249,8529
118101,118099
118099,172237
172237,298975
298975,380296
380296,118100
269191,401828
401828,402177
199430,242188
118819,118820
153486,152250
152250,153492
153492,152249
152249,153303
6033,6032
73324,72433
72433,73321
73321,72434
72434,73320
73320,73319
73319,73318
9498,9455
289242,333437
333437,333447
70610,70611
70611,70417
321352,112288
214234,211389
211389,214242
214242,273630
273630,191841
191841,61192
260612,265200
12165,8793
8793,12153
12153,17769
255692,255697
383700,383703
236243,236394
236394,236395
236395,236399
158249,159400
233996,233997
253467,253468
101756,177519
254860,255314
255314,254906
51501,87507
87507,269820
269820,299996
299996,403984
246351,246350
179785,179782
179782,183676
183676,179778
179778,179777
80688,80787
89970,89975
89975,89989
89989,89990
89990,89991
383825,383831
398630,46928
299043,294749
294749,299055
299055,267134
267134,294744
114751,114762
114762,115503
115503,114815
114815,115504
119978,128928
37652,37606
37606,37590
255012,254987
120465,125797
384889,384891
51287,377078
264438,259943
235926,234701
234701,235924
235924,234695
194010,193979
35448,80036
80036,79008
236866,238601
238601,236862
398247,397718
181888,259620
259620,259609
259609,259608
259608,274908
268839,401745
58529,57898
41527,59712
59712,41525
41525,59708
59708,41376
207989,207990
196529,195964
295816,297332
297332,295818
295818,297334
346687,346742
399956,399957
2900,2902
2902,2903
111398,249857
18118,19435
19435,19431
304960,304961
234297,234927
391820,398117
398117,336147
336147,391823
391823,335794
335794,392610
392610,336148
336148,391825
272126,272124
257475,274702
274702,278452
278452,326213
326213,347409
249495,249481
5425,5424
187122,187599
187599,187587
248750,248743
248743,248741
248741,248740
248740,248739
248739,248550
248550,248549
248549,248717
37480,37478
105130,12162
12162,105124
105124,12157
12157,12159
187171,187710
187710,5988
5988,5287
5287,187274
187274,5851
287400,332027
112641,112036
112036,112029
101604,101601
208752,207269
207269,205701
205701,207751
207751,207230
207230,205694
205694,207756
207756,205611
205611,207811
297245,295825
295825,295948
206252,206254
395228,395410
181862,184584
184584,181855
295955,295962
295962,295852
295852,295969
295969,252618
252618,280166
215694,210219
196375,195738
195738,195737
195737,196128
196128,195736
195736,195724
195724,196359
196359,195706
9077,9076
32395,32390
283821,283824
283824,283825
283825,255533
255533,255534
30423,30421
252370,364346
27721,28164
28164,82681
82681,278752
278752,28159
273158,273154
142274,150655
150655,142272
218214,217955
134525,134523
93680,272829
76567,382725
377971,377972
207368,204971
244537,244538
244538,244544
335948,18516
18516,335682
368223,368227
175156,175157
128168,128166
128166,126542
126542,126514
241927,31756
31756,31274
360955,349878
349878,360953
360953,360950
360950,349887
349887,360944
360944,360938
288963,288964
288964,167820
167820,167811
167811,271508
200467,200096
200096,200466
200466,200460
200460,200066
200066,200459
110499,104516
158438,158442
154585,152425
152425,152324
152205,391760
391760,253162
253162,253163
333637,253004
253004,291332
35894,35887
35887,35886
35886,35880
250977,156396
156396,250415
250415,156905
156905,252128
232665,232666
232666,232667
219661,219589
346265,346266
346266,346267
75231,75220
265158,260559
154038,152675
55375,379232
379232,379227
295257,296240
296240,297737
187093,187478
187478,187476
187476,187474
187474,187469
187469,174828
174828,174815
247650,247649
247649,247648
259846,264455
145543,142548
101717,102090
259882,264665
135175,140779
140779,135174
278921,278922
244318,244317
86189,86188
86188,86185
275860,275308
218145,211713
211713,211697
211697,215839
253364,253031
161118,160839
31817,34008
259634,264527
336439,336472
336472,336481
402160,82026
82026,111800
111800,158295
158295,402099
361193,349788
111602,112060
112060,59490
71567,73169
73169,234993
234993,71852
71852,234986
183009,183001
358243,350369
295158,295168
10495,19387
320292,320293
320293,320302
320302,320303
233554,234897
242429,264937
264937,260319
260319,260318
260318,264936
105877,143932
54411,54373
54373,54372
142602,142601
261182,259643
7496,7498
246055,246054
110019,104210
51430,51608
346803,348166
384479,384488
111894,112264
368825,368826
270726,270727
118798,118230
112052,111596
300430,304762
46417,46415
46415,47232
47232,46412
46412,47624
47624,46392
299111,377991
377064,377670
110007,104206
159703,159446
159446,159448
159448,159707
159707,159708
141278,141247
141247,141222
156485,251060
251060,155588
390742,390744
46819,46743
46743,46696
46696,46695
134669,134361
376869,114562
114562,368961
110646,104600
338586,347228
347228,347229
347229,338587
101443,101964
101964,101437
101437,101960
101960,101359
101359,101933
101933,101357
101357,101353
101353,101931
101931,101345
101345,101928
101928,101305
101305,18981
18981,101903
101903,177122
177122,101299
101299,101217
101217,101862
127096,118265
31415,31414
300431,304773
33183,18386
286602,286601
286601,75185
75185,380985
37916,38252
38252,37915
400675,399819
35985,6071
144712,144718
144718,144719
144719,144711
144711,144713
180583,180580
325492,244653
244653,325486
325486,325290
182295,182269
178416,177835
80806,80805
20394,19253
19253,20395
288717,288718
288718,288719
288719,288723
20210,30848
364276,364293
7619,7620
102682,107691
306494,320368
143704,143687
361298,359386
359386,359392
359392,359393
158322,159606
159606,159639
159639,158283
158283,159450
44500,44531
172345,172350
172350,172800
172800,172360
250377,250806
163761,163757
163757,163750
198118,241938
52539,52203
60100,60102
248456,247193
157885,157441
157441,157886
157886,157442
157442,157887
305918,322583
184422,184503
274400,274211
321692,321693
273833,273092
291203,291746
399216,399218
399218,399221
399221,399222
324218,322365
322365,322366
322366,322477
322477,322538
358883,358884
291199,271229
271229,291745
24255,24256
187437,187429
174159,7899
7899,106999
305622,320353
196229,195796
177825,176865
176865,177824
177824,176864
260826,265357
19396,278370
278370,278371
46488,44065
43952,44233
212902,212903
30201,30200
71769,79325
333231,333232
84552,280099
280099,279825
38431,37582
300095,253070
307281,322072
348087,346567
369217,369219
256900,256802
256802,257012
257012,256800
248775,248538
346084,346083
346083,346081
346081,346080
219962,212725
268804,268071
268071,268812
268812,267958
267958,268813
296391,295523
295523,296393
219128,212182
187014,187010
187010,187270
187270,187265
187265,187777
187777,187264
187264,187778
182489,182488
260623,265207
394730,394731
128847,118402
144673,144672
395282,395622
215271,210534
210534,215277
215277,210526
210526,215278
246508,61446
383533,383534
383534,383537
383537,383538
383538,383539
286650,286651
213554,209238
209238,206429
206429,208235
208235,206426
176600,177625
163622,163613
203125,77706
77706,77707
242458,242457
252913,252908
252908,283540
235702,234585
119380,127466
127466,128716
128716,119430
119430,125533
125533,118468
118468,118411
45161,46260
25233,25218
25218,127603
127603,25234
164787,384968
384326,384329
384329,384330
384330,384331
384331,384332
384332,384333
384609,385130
240525,237398
363078,363079
363079,363080
209479,209469
24171,24172
85985,138
259824,264640
112490,112506
120867,126013
267102,266986
7085,7087
70749,69711
47348,6976
202865,202866
295639,295640
140918,140917
379512,379511
379511,156302
156302,379507
379507,394789
299856,299857
299857,299858
299858,295059
295059,299859
120745,126003
210897,210896
215890,215893
281804,281801
77824,77825
77825,77826
68043,270292
906,1397
177354,178116
181455,184814
297885,297886
274920,274919
274919,274918
274918,274917
274917,274916
274916,274914
284598,284319
284319,284600
284600,284601
284601,284321
79214,78974
171761,173160
3621,3625
3625,3627
3627,3638
19736,19169
19169,19735
19735,19168
368976,376018
48739,48949
211420,211419
211419,214186
103526,108845
38237,37908
37908,38231
38231,38230
38230,38229
38229,38227
118747,118746
118746,118210
40788,41101
176754,176753
176753,176752
348193,346728
346728,348194
44198,44176
111364,249828
382320,382009
188464,188074
399283,118601
51688,51687
289159,289161
43990,44392
44392,43981
43981,44394
44394,43979
43979,43978
43978,44396
289101,248574
273996,273997
273997,295963
234618,234529
191856,191858
44688,44041
44041,44689
102815,108057
108057,102812
346324,346325
213982,208476
104684,106248
323458,323489
323489,305741
305741,305750
305750,305751
208657,207326
338045,338057
338057,338058
348955,348949
348949,348950
377647,377622
219988,212757
159243,167436
167436,159564
159564,159240
159240,159563
18983,21342
295732,295733
278928,278929
35553,35431
377221,377220
305645,323010
70365,69605
105940,105941
134435,134722
134722,134433
216565,209791
209791,209782
337730,337731
72066,72065
186083,180699
236996,238163
238163,238165
36357,36348
36348,35790
323006,305650
305650,305658
305658,305670
61432,61430
61430,61227
61227,61429
61429,61226
31730,31272
31272,31724
246808,246777
242847,176009
179412,184292
184292,179405
179405,184301
1185,1285
1285,1164
335768,336104
246286,246285
246285,246284
246284,246281
246281,246253
246253,246238
246238,246236
274567,274578
81856,82381
125466,118415
104765,106239
173087,173085
150920,273917
177933,178585
178585,177932
177932,178575
210379,210377
210377,215435
250957,156397
156397,156903
156903,250416
250416,252126
30811,30810
72209,72208
67909,75312
75312,76801
76801,88290
88290,258055
258055,266700
266700,270108
270108,404859
404859,51578
51578,67850
67850,75280
75280,76833
76833,76917
76917,88201
88201,266643
266643,270021
175891,175885
97677,97676
395244,395660
28026,28398
28398,28397
28397,28396
361250,350321
44929,46166
37584,38126
253347,253345
125685,125700
180029,183339
109060,108992
268479,402068
402068,268051
24217,24218
112227,111861
111861,112225
135204,135203
135203,135202
376767,152395
102586,107431
107431,107428
111778,112120
250819,369176
196862,46852
46852,40600
40600,47671
47671,196867
196867,41259
41259,41249
41249,196878
196878,46815
46815,47366
101793,102111
337578,245988
245988,245985
5342,5889
162819,163207
163207,163206
163206,163120
163120,163022
163022,163021
163021,163014
37808,321597
321597,37805
37805,321583
321583,321580
114683,114685
390293,390535
324442,306999
140757,140755
140755,140752
140752,140749
255231,255233
376943,376945
376945,335535
7504,7507
7731,7191
7191,7438
7438,7190
7190,7439
7439,7189
7189,7440
7440,7188
73265,247276
247276,73266
73266,247996
247996,73267
73267,247995
247995,247252
247252,73268
73268,247990
247990,73272
73272,247214
247214,73273
73273,247989
247989,247987
247987,247176
247176,73259
73259,247986
247986,72427
72427,247172
247172,247985
247985,73258
173846,172974
182560,186938
186938,182539
182539,182524
379189,379188
273197,7293
7293,365559
60543,60558
200381,284726
112416,76718
79402,79087
187812,5291
5291,187019
187019,5288
5288,187279
187279,187781
247364,248023
248023,247359
247359,248021
248021,39118
104022,104021
104021,109664
299993,299966
144846,144844
279778,279777
279777,279775
245318,245314
248831,249943
5225,5224
285207,285440
246537,52005
44731,43996
196474,44862
44862,195765
273358,273359
7511,7512
7512,7513
212790,219993
361963,360729
369715,369113
135278,143555
143555,143545
143545,143543
401948,401681
361139,350429
350429,350432
350432,361125
361125,350453
350453,361116
361116,350456
32566,32564
32564,203019
203019,384653
337305,337307
337307,337308
337308,337311
337311,337313
337313,346116
346116,346118
346118,346119
346119,346122
346122,346124
22717,22718
384471,384532
384532,332021
332021,332020
332020,332019
399412,399473
286523,160738
160738,360651
41627,41625
41625,41622
205384,51272
